INJSVR,TOTUNIT,INTSEC,INTSEC_TRFCONT,ALCFLAG,DRUGFLAG,YOUNG,OLD,FEMALE,RURAL,SAFETY,WTHRCOND_CLOUDY,WTHRCOND_FOG,WTHRCOND_RAIN,WTHRCOND_SLEET,WTHRCOND_SNOW,WTHRCOND_WIND,LGTCOND_DARK,LGTCOND_LIGHT,ROADCOND_ICE,ROADCOND_SNOW,ROADCOND_WET,MNRCOLL,MNRCOLL_ANGLE,MNRCOLL_HEAD,MNRCOLL_REAR,MNRCOLL_SSO,MNRCOLL_SSS,DRVRPC_SPD,DRVRPC_RULEVIO,DRVRPC_RECK,HWYPC_PDB,HWYPC_SHOULDER,HWYPC_VIS,ACCDTYPE_BIKE,ACCDTYPE_BRIDGE,ACCDTYPE_DEER,ACCDTYPE_DITCH,ACCDTYPE_GUARDRAIL,ACCDTYPE_JACKKNIFE,ACCDTYPE_MEDBAR,ACCDTYPE_OVERTURN,ACCDTYPE_PARKVEH,ACCDTYPE_TREE,ACCDTYPE_POLE,TRFCONT_1,TRFCONT,TRFCONT_SIGNAL,TRFCONT_2WAY,TRFCONT_4WAY,TRFCONT_YIELD,TRFCONT_NONE,TRUCK_TRUCK,TRUCK_PC,TRUCK_BMP,TRUCK_OTHERS,COLLTYPE
2,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,1,0,0,0,1
2,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,1,0,1,0,0,2
1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,1,0,0,2
1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,1,0,1,0,0,2
1,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,1,0,1,0,0,2
1,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,5,0,0,0,0,1,0,1,0,0,2
2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,1,0,1,0,0,2
3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,0,0,0,0,1,0,0,0,1,4
2,2,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,1,0,0,2
2,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,1,0,0,2
1,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,1,0,1,0,0,2
2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,1,0,0,2
2,2,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,1,0,1,0,0,2
1,2,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,1,0,0,2
